Accident_Index,Date,Time,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Junction_Detail,Urban_or_Rural_Area,Latitude,Longitude
A004079,16/02/2023,22:29,3,4,0,1,1,4,40,9,2,52.19546843193937,-2.1059750646130158
A004080,30/08/2023,14:37,3,3,0,9,2,5,40,9,1,51.464376155023714,-2.1088431187052925
A004081,28/08/2023,12:06,3,1,0,5,7,7,20,6,2,51.896008720308984,2.1665189047097786
A004082,01/11/2023,15:35,3,3,2,3,4,6,40,9,2,51.99839068493863,-2.8102478066530208
A004083,24/08/2023,02:44,3,5,3,4,6,7,40,3,2,52.734756155466556,-2.95514128534699
A004084,18/02/2023,14:12,3,5,1,7,7,7,70,9,1,53.208283708959954,-2.912942241606928
A004085,30/04/2023,09:02,1,5,2,1,3,5,40,2,1,49.811127450416535,2.607558373780813
A004086,31/07/2023,03:22,3,5,3,3,6,1,30,1,1,50.962081602389944,0.5973353625421393
A004087,27/02/2023,16:02,3,5,2,9,3,5,50,5,1,50.06945849124916,2.7791859934975203
A004088,12/01/2023,20:03,3,2,3,7,3,1,50,0,2,49.895132364852486,2.2546709387668753
A004089,10/12/2023,12:44,1,2,0,4,1,6,50,7,2,53.43391862508042,1.7261143057547588
A004090,15/02/2023,02:27,3,2,2,2,7,7,70,6,1,52.663489252594715,-1.154063046469575
A004091,09/09/2023,18:33,3,3,3,8,1,4,30,7,1,52.587305720233196,1.8289408515971677
A004092,06/12/2023,20:15,3,3,1,3,6,4,60,5,2,49.63071152366081,-3.0497628918010933
A004093,06/06/2023,10:11,1,5,3,1,6,5,30,6,2,49.95850780903921,-2.6496634252511235
A004094,20/03/2023,13:58,3,5,3,4,7,1,50,6,2,52.56182636416764,0.2636796397014668
A004095,28/01/2023,20:38,3,5,0,4,6,6,50,9,1,50.06391807307294,2.7273822389422553
A004096,26/01/2023,04:09,3,3,1,2,5,6,60,8,2,51.42088208562316,2.7057600233342387
A004097,20/12/2023,05:07,3,2,2,4,7,1,20,0,2,52.470271178473844,1.30027997988836
A004098,02/11/2023,21:57,2,1,0,5,3,1,70,0,1,49.92220549000694,-1.9273099336071202
A004099,19/01/2023,20:22,3,3,1,8,5,5,70,7,2,49.869502337715794,0.6367787603193117
A004100,01/05/2023,20:14,3,5,3,7,3,4,70,1,1,52.41877879593088,-0.17508521203596308
A004101,07/05/2023,13:43,3,4,3,2,6,6,20,3,2,53.09861413683691,-0.5866340165224971
A004102,01/07/2023,13:40,3,2,3,5,1,5,70,0,2,50.238664369277345,-2.4577730690382347
A004103,13/04/2023,21:44,3,5,0,9,6,7,70,9,2,50.87575076676144,0.2562874265864298
A004104,28/01/2023,07:26,3,4,3,1,4,6,50,0,2,50.12074027813175,-2.6131615404828605
A004105,22/08/2023,21:28,3,2,2,1,3,4,60,8,1,49.95875575929883,-0.09660054762715423
A004106,24/12/2023,13:00,1,2,3,5,4,5,30,1,2,51.927359481015465,0.8757933151432861
A004107,19/11/2023,05:40,2,1,2,7,4,4,70,8,1,52.14757621062526,-2.0594448049128506
A004108,08/01/2023,14:46,3,5,3,3,3,1,40,7,1,52.23191541886583,-2.801015144849754
A004109,06/05/2023,10:44,2,3,1,6,2,4,50,5,2,50.23039127459157,-1.5681044170501692
A004110,05/06/2023,06:09,3,3,2,3,4,4,60,3,2,50.090934256532556,0.15154115098374774
A004111,09/06/2023,22:56,1,2,1,8,2,7,70,5,2,50.9278890961446,-2.063062333860613
A004112,27/08/2023,13:51,3,2,3,5,3,7,70,3,2,52.55430286835067,1.5131881614644498
A004113,17/06/2023,05:40,3,1,0,1,6,6,30,3,1,50.05442412075027,0.9271371706803114
A004114,17/03/2023,03:44,3,5,2,5,7,4,50,7,2,51.16504785777591,1.1562303649790011
A004115,23/11/2023,23:26,3,4,3,6,3,7,40,9,2,51.76443840104253,-2.0972068410901996
A004116,03/11/2023,00:43,2,2,0,2,1,4,40,1,1,50.4953197678006,1.032244485252623
A004117,29/07/2023,03:09,2,5,0,6,1,5,20,5,1,49.619614838485276,-2.024171034557409
A004118,25/12/2023,22:32,3,1,2,3,4,4,70,5,1,50.8161081131425,2.7718192677499487
A004119,12/05/2023,21:21,2,5,2,4,6,7,40,9,1,50.15983459691172,-0.2960036989208107
A004120,13/07/2023,07:33,3,2,0,9,3,5,30,5,2,50.79088673863859,-1.5687622216268777
A004121,05/09/2023,16:44,3,2,1,4,6,1,50,5,1,49.51168960304564,1.0459288982464705
A004122,01/06/2023,03:48,3,5,0,9,3,7,20,7,1,52.00193222397304,-0.3361681431274425
A004123,10/03/2023,18:39,3,2,3,3,4,6,40,0,2,51.553649812039694,-2.334217676814698
A004124,04/02/2023,09:16,2,5,3,6,3,5,40,5,1,52.161057381316226,-1.1026628734770396
A004125,16/02/2023,00:09,3,3,0,3,3,1,60,0,2,50.121767805776955,-0.9917485426705682
A004126,25/08/2023,13:01,3,2,2,1,5,5,60,8,1,50.55344267582932,-2.6790321052600734
A004127,25/05/2023,10:13,3,3,3,5,1,6,40,5,1,52.20795881077438,-2.1188201200176544
A004128,31/05/2023,13:05,3,2,3,8,4,7,70,1,1,51.03527967631016,-2.0397614571213674
A004129,02/12/2023,18:24,3,2,1,3,6,5,60,1,2,52.559160097891144,-1.4525628854805852
A004130,16/05/2023,02:09,3,1,1,9,3,5,50,0,1,52.321173158119294,-0.2326149188587582
A004131,20/09/2023,23:13,2,3,1,4,7,7,60,5,1,52.122868881422676,1.0146728639314095
A004132,21/03/2023,00:45,3,5,1,4,2,1,70,5,2,52.34622970039258,-0.11836235353422211
A004133,20/03/2023,08:49,3,3,3,6,2,4,60,7,1,51.782634227685186,0.04958413167859507
A004134,26/06/2023,18:55,2,1,3,6,5,6,30,6,2,51.040884362034504,-1.5255136025195284
A004135,22/08/2023,13:27,2,2,3,3,5,6,20,9,1,53.38896597929628,2.158996161371634
A004136,10/07/2023,09:40,3,4,3,8,4,5,40,0,1,51.415676340717695,-3.017892616479195
A004137,16/09/2023,16:57,3,4,2,6,3,5,20,0,1,52.75882251750277,1.9138281046776693
A004138,12/05/2023,12:29,3,2,0,1,2,6,40,6,1,52.94555398506952,2.1632966053697875
A004139,06/08/2023,11:10,3,1,3,9,4,4,40,2,2,50.26200556065303,1.4835586527849824
A004140,11/02/2023,20:26,3,3,1,3,6,6,60,7,2,52.126754830330746,2.631907016564496
A004141,08/04/2023,04:47,3,1,0,6,4,7,70,3,2,52.69203833848853,0.8223730449409429
A004142,04/03/2023,19:29,3,3,1,1,2,5,40,6,1,52.29730165827649,2.2213909912011913
A004143,27/05/2023,21:19,2,3,3,8,6,6,40,1,1,51.40329936637798,1.811437064331439
A004144,04/10/2023,13:30,3,2,1,4,2,6,40,6,2,51.19548900694977,-1.3617512524370148
A004145,28/09/2023,15:25,2,1,2,7,3,5,70,7,2,52.36748494965959,1.958431806976645
A004146,26/06/2023,04:08,2,4,2,4,4,1,50,5,2,52.55556862515144,1.8671676290606203
A004147,23/09/2023,00:48,3,1,2,6,5,5,40,0,2,52.453025622960446,1.064668956625232
A004148,26/03/2023,12:15,3,4,2,1,5,4,50,7,2,52.26974316011119,0.3587330443859523
A004149,28/02/2023,17:21,3,5,2,9,1,4,70,9,1,49.68285804481218,0.31469149824739706
A004150,25/11/2023,21:09,3,3,3,8,3,4,60,3,2,51.69685948751568,2.7512244786577447
A004151,27/12/2023,18:16,3,3,2,6,5,5,40,0,1,50.50073747035175,0.5605028062194869
A004152,30/10/2023,05:17,3,5,0,8,4,6,30,3,2,53.47718370530959,-0.7715042169163348
A004153,19/06/2023,08:21,3,5,3,7,2,6,70,6,1,51.45880820786046,-2.084165519617097
A004154,24/08/2023,08:51,3,2,3,2,3,7,70,9,1,50.44968936423199,0.9473120785295018
A004155,19/11/2023,22:21,2,3,1,1,6,5,40,0,2,50.974315760406185,2.4143873098448263
A004156,27/11/2023,18:18,3,3,1,2,1,6,50,5,2,52.47998788614847,1.1656233569851344
A004157,04/04/2023,17:12,3,3,1,3,1,1,60,3,1,49.73407073588502,0.9871998535660055
A004158,10/02/2023,03:59,2,5,1,2,4,6,20,3,1,49.62854618751433,-1.0224523857995926
A004159,01/09/2023,03:53,1,1,3,5,1,7,20,0,2,50.00460221388386,2.1779338167072395
A004160,13/11/2023,04:58,2,5,3,2,2,7,40,8,1,50.53044757937435,-2.1764448390116136
A004161,20/12/2023,05:09,3,4,1,5,4,7,50,5,1,52.233087373352724,-1.9364181520447876
A004162,11/02/2023,17:29,3,4,3,9,5,7,60,9,2,52.13696054737576,-1.0790308031262819
A004163,28/01/2023,13:24,3,1,0,1,6,1,30,8,2,51.12447584292418,1.1484649163391505
A004164,17/12/2023,12:12,3,1,1,7,3,1,30,3,1,50.24092420899789,0.5007693582020428
A004165,01/04/2023,21:00,3,4,0,5,7,4,20,8,1,52.43678448402742,1.5834065724855235
A004166,20/07/2023,15:27,3,5,2,5,7,5,60,6,2,51.662661729389725,2.299542200753304
A004167,17/05/2023,16:40,3,1,1,2,3,7,70,8,2,49.522309981413365,-3.065967039931485
A004168,19/01/2023,13:07,3,1,2,5,4,6,60,1,2,52.76504558196596,0.998866051427784
A004169,07/01/2023,23:40,3,1,0,7,7,6,60,1,1,50.01484440664711,-1.9286640224435252
A004170,15/03/2023,01:43,3,1,3,7,3,7,20,3,2,50.75274155555268,-0.29512842355216884
A004171,30/10/2023,22:00,3,3,2,6,7,5,20,5,1,52.12440032867742,-2.8953873310904368
A004172,22/07/2023,12:09,3,3,2,7,7,5,50,5,1,50.43537861562713,-1.0113892362767496
A004173,25/06/2023,02:52,3,2,2,6,3,7,50,8,1,52.21117616373999,-0.1804347074478975
A004174,08/06/2023,13:41,3,2,1,2,5,1,20,2,2,51.59574818307726,-2.386736816249892
A004175,11/03/2023,10:27,3,1,0,3,4,7,60,9,1,50.03225629009759,2.5975071556534686
A004176,31/01/2023,01:19,3,4,0,6,3,1,60,9,2,51.34979820920972,-1.3896734667718886
A004177,20/07/2023,19:22,2,2,0,3,4,7,70,9,1,52.61487604397034,-0.06695390058024167
A004178,01/08/2023,14:56,3,1,3,2,1,7,70,9,1,50.992827389464495,-1.5483373098573014
A004179,04/09/2023,19:11,3,2,2,2,7,4,50,9,1,53.20725312254245,-2.984491529914702
A004180,01/03/2023,06:07,3,2,3,5,5,4,70,1,2,52.17703907471615,2.4203619920143553
A004181,15/09/2023,01:13,3,2,0,6,6,7,20,1,2,50.63315992802218,-2.088465412642488
A004182,02/05/2023,22:40,3,4,0,2,7,1,40,5,2,49.99293590515012,2.1956390575706686
A004183,25/04/2023,17:32,3,3,0,8,6,7,70,8,1,49.811462808737765,0.6082609893129028
A004184,10/04/2023,17:55,3,3,1,6,3,1,40,9,2,51.38627490316444,-0.5254960893806321
A004185,12/10/2023,02:28,3,1,0,9,4,5,50,9,1,52.28495589191038,2.6525392035498148
A004186,09/03/2023,07:29,2,4,3,9,6,7,60,1,2,49.58772829800758,-2.491986536890631
A004187,11/12/2023,21:36,3,4,3,6,7,7,30,7,1,50.13913913532732,-1.5564853167069141
A004188,30/05/2023,21:17,3,2,0,9,2,7,20,8,1,49.81996940116769,2.0492967506593494
A004189,11/10/2023,01:50,2,1,0,1,7,5,40,5,1,52.00792865050768,0.9868955133893161
A004190,26/08/2023,19:32,3,1,0,3,5,5,50,3,1,52.36341214065468,2.814570669258481
A004191,21/06/2023,05:59,3,1,2,4,6,1,70,8,2,50.28519171171351,-1.1186129550689654
A004192,18/03/2023,04:19,2,3,2,9,6,1,40,3,1,50.222983525149665,2.3337259565543307
A004193,12/09/2023,11:49,3,3,1,6,7,7,40,2,1,49.60359924950554,2.53289156269511
A004194,01/01/2023,06:59,3,5,0,7,6,1,60,3,2,52.34392905551972,-1.6614627769918822
A004195,08/11/2023,00:48,3,4,0,8,5,7,50,7,1,50.47602370325697,-0.25320753860946466
A004196,12/02/2023,07:47,3,1,1,6,4,7,40,1,1,50.89072450700482,1.6913273906975461
A004197,13/07/2023,02:41,2,5,2,4,6,7,40,6,1,51.134126740655695,-0.20904068289557945
A004198,21/11/2023,22:28,3,3,2,4,6,7,30,6,1,52.99694013894198,1.0900036112153857
A004199,27/09/2023,21:33,3,1,3,3,3,4,50,8,1,52.590763653830166,-2.773860496498849
A004200,28/12/2023,07:07,2,1,2,8,6,4,70,6,1,51.78577124099604,-2.8237316038747284
A004201,08/01/2023,15:15,3,2,1,3,4,7,70,0,1,52.829819736722975,-1.2218160580634234
A004202,06/01/2023,14:24,3,1,1,9,5,6,40,1,2,52.82801957155251,-2.380329767964698
A004203,29/07/2023,08:38,3,5,3,8,7,1,20,3,2,51.372531505791045,-2.151573241697571
A004204,09/11/2023,15:24,3,2,2,4,4,5,70,7,1,50.199113880923434,-0.875635297728205
A004205,28/05/2023,00:03,3,5,2,9,2,5,40,5,1,49.984771395694096,-2.695912411652435
A004206,16/06/2023,01:04,2,4,1,1,6,4,70,2,1,53.00014564060334,-3.0805315923149563
A004207,20/01/2023,02:46,3,1,3,5,2,1,50,6,1,51.10630122486763,-1.4327527404857705
A004208,19/06/2023,03:36,3,4,3,3,1,5,30,8,2,51.48924851995291,-1.508490894443564
A004209,06/12/2023,10:42,3,5,2,3,6,1,30,0,2,51.7349363323109,2.645762889857006
A004210,13/08/2023,14:22,3,2,1,8,2,7,70,2,1,51.47878315621267,0.1947938457533521
A004211,25/06/2023,20:44,3,1,2,9,6,1,50,7,1,51.34247267618947,-2.34476595745544
A004212,26/05/2023,09:21,3,4,0,4,1,5,60,7,1,51.988041001554414,2.0497957807081595
A004213,05/10/2023,20:48,3,2,3,1,5,1,60,5,1,51.06763481163562,-0.5960659416145025
A004214,28/02/2023,18:03,3,1,1,1,6,1,50,5,2,50.99665722076477,1.6205902011748399
A004215,20/06/2023,11:07,3,1,3,8,1,4,70,5,2,52.14510963320237,0.21118325224921017
A004216,05/07/2023,17:37,3,1,3,9,7,4,60,7,1,49.631084625910496,1.8730401891321216
A004217,11/05/2023,21:08,3,5,2,2,4,1,40,7,2,51.3983438920706,-3.043269718279013
A004218,24/07/2023,12:59,1,2,0,5,7,7,40,0,1,51.00880553665462,-2.077465998311693
A004219,15/07/2023,15:24,3,2,2,3,6,7,20,8,2,49.74479463138193,-0.3543221601830585
A004220,05/03/2023,14:05,2,4,1,6,5,7,70,3,1,52.292779568109765,2.4702666876505215
A004221,20/11/2023,19:26,3,5,2,2,6,4,30,0,1,52.722179493415055,2.663478113127938
A004222,30/04/2023,07:27,3,3,2,7,6,1,30,6,1,53.15213662175708,0.6158133942598011
A004223,15/05/2023,12:42,2,5,1,8,2,1,60,5,2,50.30641901636429,-1.0688532089294092
A004224,22/04/2023,06:30,3,3,0,7,5,5,50,0,2,51.310064742398865,-2.640195004964425
A004225,03/12/2023,08:32,2,1,2,3,2,6,70,6,2,52.03610057011497,1.4824798649266469
A004226,19/08/2023,18:57,3,1,0,5,3,6,20,7,1,52.700221522732505,-2.4101186219216593
A004227,22/02/2023,19:37,3,4,3,4,5,1,30,7,2,50.74950520408781,2.773554064821138
A004228,03/12/2023,01:30,3,3,2,5,3,1,70,3,2,52.41736049140771,-2.5115479405445043
A004229,07/03/2023,20:56,3,1,2,9,1,6,60,9,2,49.604739833792884,-0.2580761245908473
A004230,09/06/2023,04:54,1,2,2,6,6,5,70,2,2,50.61037409375735,-0.2106712338824849
A004231,04/08/2023,12:49,2,1,1,9,3,4,30,7,2,49.56849421774506,-1.7927149065851171
A004232,14/04/2023,15:41,3,3,1,3,3,6,70,7,1,53.09899312969801,-2.0415007038436266
A004233,19/05/2023,17:13,3,2,1,3,2,5,70,9,1,49.97106873888267,-2.846735166507654
A004234,15/09/2023,02:03,3,1,1,7,6,7,60,0,2,53.47484810613594,-1.2882410742003914
A004235,20/12/2023,15:17,3,2,0,3,3,7,70,8,2,51.697806725615365,-1.9542672814946354
A004236,13/08/2023,04:04,3,2,3,4,6,5,40,2,1,49.81671110215287,1.4315191280928077
A004237,29/03/2023,21:32,3,4,1,7,6,7,30,8,2,53.47300476594499,1.8202389855283738
A004238,19/03/2023,20:39,2,1,0,4,1,6,40,6,2,51.05008017426424,-2.1920875651904215
A004239,30/04/2023,22:35,3,1,2,3,7,5,40,3,2,51.386568584363516,-0.27428924195441284
A004240,16/06/2023,13:37,3,1,1,8,2,1,30,0,2,51.38629423516737,2.0005517485750297
A004241,21/07/2023,09:44,3,4,1,9,1,6,60,3,2,50.88695834481576,1.3759314605269313
A004242,11/10/2023,13:26,3,1,2,9,7,4,40,8,1,51.06180216600027,2.6051852344655173
A004243,16/11/2023,22:20,3,3,2,9,5,1,20,2,2,49.77092361062426,0.48931374986425624
A004244,18/08/2023,14:54,3,1,3,5,7,7,50,0,1,50.40317636144937,1.9062725186126532
A004245,27/03/2023,10:45,3,1,0,3,6,6,40,5,2,49.86385124935209,-1.4814945462179605
A004246,27/04/2023,02:20,3,2,2,9,2,7,30,8,2,49.52221911036934,1.176231334611399
A004247,30/06/2023,20:11,2,1,1,5,2,6,50,2,2,51.23258328898423,-1.6564647713512597
A004248,24/05/2023,06:59,3,2,2,7,2,7,20,6,1,49.78761631037902,-2.247554382561758
A004249,30/07/2023,18:11,3,4,0,6,7,1,70,1,1,49.84843701854372,0.9765136875485846
A004250,17/04/2023,04:39,3,3,3,2,3,5,40,6,2,51.28429063060496,0.37936846896994114
A004251,10/09/2023,20:59,1,1,0,2,6,4,50,8,2,52.86175933282202,2.710362373011566
A004252,09/08/2023,00:22,3,1,3,2,7,6,60,3,1,50.63154384194878,-0.21996332937606536
A004253,04/01/2023,18:50,2,1,3,5,1,1,30,7,2,50.115321845184376,0.2698934460094341
A004254,16/02/2023,04:02,3,5,2,8,1,5,50,1,1,50.01466435710424,-0.007193361499792689
A004255,07/11/2023,07:04,1,2,0,3,5,5,50,2,1,50.42261632697427,2.2231700048261698
A004256,27/10/2023,06:09,3,5,0,4,7,4,40,1,2,52.23320088385936,-0.28936487355339435
A004257,17/01/2023,18:26,3,4,0,4,4,4,20,1,1,51.71501737615801,1.355555517645573
A004258,27/10/2023,19:24,3,2,1,6,5,6,70,0,2,49.55100419440492,-0.9402876742469432
A004259,17/04/2023,16:18,3,3,2,7,3,4,70,2,1,52.227322587472145,-0.9106635420577044
A004260,24/07/2023,14:11,3,2,0,1,1,7,60,8,2,51.74794859032569,-1.8105802063159118
A004261,12/07/2023,00:57,3,5,0,7,2,7,50,1,1,50.70693495871559,1.9546866735307504
A004262,15/03/2023,22:36,2,3,3,7,6,5,50,3,2,53.02038184825691,2.059066990090558
A004263,10/06/2023,00:21,2,2,1,2,2,5,60,0,2,51.13989997158766,1.7242581437586737
A004264,01/12/2023,15:34,3,2,3,6,3,1,30,0,2,50.25365038990462,-1.3699150932637942
A004265,06/10/2023,12:40,2,5,2,7,6,7,50,1,1,50.511723854274685,-2.566859724314338
A004266,19/08/2023,16:02,2,3,2,1,5,7,70,1,1,50.783822207436216,-2.1007652529992087
A004267,08/03/2023,18:58,1,5,2,2,7,7,30,6,1,52.82493678711752,0.41484685579122493
A004268,10/03/2023,09:23,3,2,0,2,1,4,50,5,2,52.73332343674098,2.172494720198864
A004269,16/04/2023,08:19,3,2,1,3,2,5,20,9,2,49.922067773001984,-1.0226269056809625
A004270,29/05/2023,23:30,2,4,0,4,3,6,50,5,2,53.14063136376102,1.8913451670785881
A004271,17/05/2023,17:27,3,3,3,1,6,5,30,6,1,50.4531507676371,-1.7209302200364287
A004272,03/11/2023,16:05,3,1,2,5,7,4,70,7,1,49.553650112109146,-2.033417439465847
A004273,13/02/2023,20:00,2,2,1,8,6,4,30,7,2,50.322463625732915,1.4564326371619152
A004274,26/07/2023,06:25,3,2,3,9,2,5,30,1,1,53.47211242455549,1.2053135957106194
A004275,27/02/2023,18:44,2,4,1,5,7,4,40,9,1,52.43842643155376,-1.1132786089396134
A004276,21/04/2023,03:34,3,5,1,8,7,5,70,3,2,50.843053453601776,1.5939798988721416
A004277,06/05/2023,13:01,2,1,0,1,3,5,70,5,1,49.67888242319979,0.6533948881205652
A004278,04/04/2023,13:57,3,5,0,1,2,5,50,7,2,49.67450406698037,1.1814895630065405
A004279,10/08/2023,04:51,2,2,3,8,4,5,60,2,1,51.918844063990925,-2.2176952026029437
A004280,19/01/2023,00:51,3,5,1,8,2,6,50,5,2,50.44226112118718,-0.4908051557009475
A004281,20/05/2023,21:40,3,5,0,7,3,1,50,8,2,51.28093165509789,-2.660994040222152
A004282,16/09/2023,07:06,2,4,3,7,2,1,20,3,1,53.1795968535999,-1.9056528637233632
A004283,27/02/2023,04:24,3,1,0,7,1,6,20,1,2,51.57287310451724,-1.766079784245253
A004284,12/09/2023,04:33,2,3,3,1,1,6,70,8,1,52.20879839018838,-2.9592141287803178
A004285,24/09/2023,15:28,3,1,2,7,4,4,20,2,1,51.987798176944295,0.1600154930447669
A004286,22/10/2023,08:22,3,2,3,1,6,1,70,5,2,50.27953338011951,0.33941696080022477
A004287,25/01/2023,12:30,3,3,1,5,6,4,50,2,2,52.02090322490005,-0.8123324598302041
A004288,06/01/2023,08:57,3,5,1,9,2,6,40,6,2,50.06716997785988,-2.7364131051348886
A004289,08/07/2023,14:01,1,4,0,1,1,6,70,9,1,51.41747906065137,1.0629461860409966
A004290,16/01/2023,17:28,3,2,2,1,6,7,20,6,2,52.05761256742884,-1.36977944401482
A004291,26/11/2023,08:42,3,1,3,8,5,6,30,9,1,52.6208040526343,-1.0957268470893022
A004292,02/06/2023,08:15,3,1,3,6,5,1,70,0,2,50.23559627869282,0.15672968022517128
A004293,02/08/2023,00:45,3,2,2,5,6,7,60,5,1,49.711088468340854,-0.23628136776690659
A004294,16/11/2023,01:10,3,3,0,4,4,1,70,1,2,50.1806198090533,-1.4657782929103544
A004295,20/12/2023,21:57,2,2,2,5,4,6,30,0,1,51.68363748940693,2.0834583651179392
A004296,16/07/2023,14:37,3,3,2,4,1,7,60,6,2,52.32928805223544,-2.484754596077425
A004297,11/06/2023,16:48,3,2,0,6,1,7,30,6,1,50.304036453490625,-2.3102998338136125
A004298,17/06/2023,04:12,3,5,3,1,7,7,50,1,1,50.27634010978893,-2.1388572241799593
A004299,06/04/2023,14:15,3,1,1,5,1,6,20,9,2,50.82891898493689,0.07424534453598994
A004300,27/12/2023,01:10,3,5,0,6,4,7,40,7,1,49.56339750007123,1.3275317181469553
A004301,11/09/2023,05:52,3,1,3,3,6,4,40,1,1,50.91071355710159,2.860888445697467
A004302,20/12/2023,21:57,3,3,2,2,7,4,30,6,1,53.19064677597804,-1.157187801127095
A004303,22/05/2023,11:35,3,5,2,9,5,6,20,1,1,52.744446852931105,2.89903542919333
A004304,15/06/2023,00:45,3,3,1,6,2,5,70,0,1,53.368049619581114,-2.3329311639072774
A004305,08/10/2023,20:14,3,5,3,9,1,4,40,0,2,53.32416162674403,-1.2138403912880529
A004306,16/04/2023,01:24,3,2,0,5,4,1,60,0,2,49.620440166428835,0.9141698542503255
A004307,31/05/2023,22:59,2,2,0,5,5,6,30,1,2,51.02770892177746,-2.8883269212196976
A004308,11/12/2023,23:02,3,2,2,7,1,6,50,2,1,51.99855514788767,0.34361295608526643
A004309,30/05/2023,05:03,3,5,1,4,4,7,30,1,2,51.7235067454147,1.0340950977709276
A004310,18/07/2023,01:08,2,5,2,5,6,6,70,6,2,52.692962631011085,-2.4185271310326377
A004311,02/04/2023,03:52,2,1,1,5,2,5,50,0,2,50.17519356743023,0.4472285980574441
A004312,12/08/2023,11:40,1,4,0,1,6,5,20,6,1,51.63264701012143,-0.21727153953974235
A004313,11/08/2023,01:32,1,3,3,3,1,5,40,8,2,52.26111113470029,2.153345452551027
A004314,30/04/2023,18:55,3,2,1,8,7,7,30,3,1,50.49111474864742,0.9301218832262329
A004315,29/07/2023,15:18,3,5,3,1,5,5,20,0,2,51.04133881289718,1.2610436005026187
A004316,21/02/2023,04:39,3,3,0,8,6,6,20,8,2,49.59261917559319,1.6368237116032875
A004317,15/08/2023,16:24,1,5,1,3,4,7,60,3,2,50.864425501345046,-0.03844435238378399
A004318,28/06/2023,21:50,3,5,3,1,5,5,70,1,1,52.79348607541412,-2.5585554008637
A004319,12/10/2023,06:32,2,2,0,2,7,4,20,3,2,51.78716154617169,-0.377764366494047
A004320,27/10/2023,19:07,3,4,3,2,2,5,20,2,1,50.05149461622724,-2.101189105846182
A004321,05/11/2023,17:01,3,4,1,2,2,5,40,3,1,50.19279527709369,-1.3539758250400027
A004322,06/08/2023,07:19,3,5,1,3,7,7,70,6,1,51.72709675089318,-2.358292325085994
A004323,17/02/2023,22:59,3,4,2,3,6,4,30,9,2,49.858131337169326,1.8303343180107512
A004324,03/12/2023,08:32,3,5,2,5,2,1,50,9,1,51.219340205565935,1.4924434404981208
A004325,16/05/2023,02:43,3,3,3,8,5,1,30,5,2,50.55291889357446,1.4550568297739264
A004326,13/02/2023,18:14,3,5,1,6,2,6,50,0,2,49.991166178342596,-2.948572942233938
A004327,09/02/2023,20:29,2,1,0,5,5,5,30,3,1,50.16958750633011,0.8135685822896509
A004328,07/08/2023,14:30,3,3,2,4,1,1,20,9,1,51.7324646500992,-0.262623687906688
A004329,26/07/2023,07:36,2,5,1,5,4,6,30,2,1,50.29389201852046,1.651043678896778
A004330,25/12/2023,02:19,3,2,0,9,6,1,30,6,2,50.45381297487926,2.236375049376566
A004331,20/05/2023,18:33,3,2,1,2,5,7,20,0,1,52.16568808177567,0.995527028665817
A004332,24/02/2023,11:58,3,2,2,7,1,7,60,6,2,50.00680860391177,1.0498633926089975
A004333,28/09/2023,23:48,2,1,0,3,2,5,40,3,1,52.45233035571652,-0.3412330833939564
A004334,10/02/2023,04:53,3,3,2,8,1,5,70,3,2,51.91460685087138,0.6185484484684581
A004335,02/05/2023,03:04,3,2,2,7,6,4,20,8,1,52.227998564460925,2.1845430021222128
A004336,13/06/2023,20:28,3,2,3,7,5,7,20,5,1,50.04118805607755,-1.2401036054960441
A004337,01/11/2023,11:10,3,4,2,6,5,4,60,3,1,51.586655421122,0.1830392642431243
A004338,22/10/2023,12:45,3,3,2,2,1,1,70,1,2,50.3567144587915,2.7990058413107737
A004339,27/04/2023,15:09,2,1,3,8,2,4,20,0,1,51.165506009732454,-0.420449730462915
A004340,24/09/2023,06:42,3,5,0,6,3,4,30,1,2,51.63853670816769,-2.5057561540439424
A004341,15/04/2023,04:19,2,4,0,7,6,4,30,0,1,51.75229557406727,-1.4677025259208212
A004342,18/12/2023,16:32,3,5,1,3,5,5,30,2,2,51.38951698067729,-1.2622455822266172
A004343,23/11/2023,07:55,3,2,0,7,4,5,20,0,1,50.96590374122055,1.190219080394915
A004344,15/05/2023,07:18,2,4,0,7,4,4,30,3,1,51.4831516617953,-2.1583449441244347
A004345,06/02/2023,23:00,3,3,2,4,4,4,70,9,1,50.84136337458006,1.2076217744058133
A004346,10/03/2023,21:01,3,1,2,5,2,4,70,7,1,52.70971998283337,2.3206397294290784
A004347,23/05/2023,18:51,3,4,1,8,4,6,40,1,1,51.39635161706625,2.875521257080105
A004348,11/04/2023,19:12,3,5,1,9,5,5,50,0,2,53.376259617309174,-1.19263555129114
A004349,19/10/2023,03:13,3,3,2,9,2,7,60,7,2,51.456703702241924,-0.4286202384606831
A004350,05/10/2023,18:58,3,5,0,7,5,7,60,6,1,52.59870577719598,-0.35259798808608334
A004351,11/06/2023,16:23,3,2,3,4,6,5,70,8,1,52.42042006999173,-2.7802925779726215
A004352,05/03/2023,10:52,3,5,2,7,5,5,70,8,2,50.1256265760935,-1.8144398038817158
A004353,21/07/2023,23:20,3,5,2,6,5,6,40,1,1,50.37361207302939,-2.975518757657367
A004354,10/06/2023,00:42,3,5,2,7,6,4,70,3,1,52.08649805926775,-2.5811114331219795
