Accident_Index,Vehicle_Reference,Vehicle_Type,Age_of_Vehicle,Engine_Capacity,Age_of_Driver,Sex_of_Driver
A015154,1,9,2020,1600,66,2
A015155,1,11,2005,2500,49,1
A015156,1,3,2022,1000,66,2
A015157,1,7,2006,1000,32,2
A015158,1,13,2014,1600,45,2
A015159,1,8,2012,2000,54,2
A015160,1,7,2005,2500,57,1
A015161,1,10,2016,2500,71,1
A015162,1,15,2022,1400,53,1
A015163,1,6,2019,2000,26,2
A015164,1,11,2021,1600,76,1
A015165,1,17,2011,1000,30,2
A015166,1,18,2018,2000,50,1
A015167,1,9,2006,2000,32,1
A015168,1,11,2012,2500,36,1
A015169,1,8,2009,1000,42,1
A015170,1,4,2022,1000,79,1
A015171,1,17,2017,1600,63,2
A015172,1,4,2010,2000,35,2
A015173,1,6,2013,2000,54,2
A015174,1,13,2017,2500,70,1
A015175,1,5,2008,2000,77,1
A015176,1,12,2012,2500,34,1
A015177,1,15,2006,1000,63,2
A015178,1,5,2018,2500,70,1
A015179,1,11,2018,1600,80,2
A015180,1,2,2012,1600,50,1
A015181,1,13,2014,1600,25,2
A015182,1,5,2023,1400,57,1
A015183,1,5,2016,1400,29,1
A015184,1,14,2007,2500,52,2
A015185,1,13,2019,1400,74,1
A015186,1,9,2023,1000,65,1
A015187,1,20,2018,1000,37,1
A015188,1,9,2010,2000,22,1
A015189,1,14,2004,1600,51,1
A015190,1,18,2014,2000,71,1
A015191,1,13,2010,1400,36,2
A015192,1,16,2004,2000,43,1
A015193,1,18,2021,2000,21,1
A015194,1,18,2020,1600,45,2
A015195,1,5,2013,1400,66,2
A015196,1,17,2005,1600,52,1
A015197,1,14,2015,1600,68,1
A015198,1,3,2023,1600,33,1
A015199,1,15,2014,1400,52,1
A015200,1,19,2023,1400,49,1
A015201,1,6,2012,1000,20,1
A015202,1,8,2011,1000,52,2
A015203,1,6,2011,2500,57,2
A015204,1,5,2006,2000,24,2
A015205,1,17,2023,1000,19,1
A015206,1,20,2011,1000,30,2
A015207,1,11,2015,1000,42,1
A015208,1,11,2005,2000,39,2
A015209,1,9,2011,2000,51,2
A015210,1,18,2019,1000,73,2
A015211,1,8,2022,1400,64,2
A015212,1,17,2016,1000,60,2
A015213,1,13,2007,2000,59,1
A015214,1,3,2013,1600,63,2
A015215,1,16,2018,1400,41,1
A015216,1,19,2022,2000,37,1
A015217,1,17,2017,2000,53,1
A015218,1,17,2004,2000,69,1
A015219,1,11,2021,1000,37,2
A015220,1,13,2007,1000,69,2
A015221,1,9,2008,1400,34,1
A015222,1,1,2006,2000,58,2
A015223,1,6,2007,1600,26,2
A015224,1,1,2020,2000,64,2
A015225,1,7,2012,1000,60,1
A015226,1,13,2017,1400,50,2
A015227,1,5,2022,1000,23,2
A015228,1,18,2011,1400,38,1
A015229,1,17,2007,1600,48,1
A015230,1,4,2023,1000,80,2
A015231,1,15,2004,1600,26,2
A015232,1,17,2020,1400,31,1
A015233,1,19,2017,1000,29,1
A015234,1,14,2006,1000,35,1
A015235,1,2,2023,2500,56,1
A015236,1,2,2010,2500,46,2
A015237,1,8,2005,1600,29,2
A015238,1,4,2020,1600,50,2
A015239,1,20,2020,2500,27,2
A015240,1,14,2022,1600,20,2
A015241,1,16,2021,1000,35,1
A015242,1,7,2019,2500,68,2
A015243,1,8,2021,2500,19,1
A015244,1,1,2009,1600,21,2
A015245,1,15,2010,2500,67,2
A015246,1,20,2009,1400,74,2
A015247,1,20,2006,2500,36,2
A015248,1,6,2008,1000,35,2
A015249,1,14,2006,1000,73,1
A015250,1,9,2015,1400,78,2
A015251,1,2,2014,2500,77,2
A015252,1,4,2020,1600,42,1
A015253,1,6,2008,2000,43,1
A015254,1,7,2013,2500,80,2
A015255,1,8,2015,1400,50,2
A015256,1,12,2013,2000,65,2
A015257,1,12,2013,2500,27,1
A015258,1,8,2021,1000,61,2
A015259,1,6,2018,1400,26,1
A015260,1,10,2011,1600,68,2
A015261,1,2,2004,2500,66,2
A015262,1,18,2004,1600,49,1
A015263,1,12,2008,1400,57,1
A015264,1,20,2007,1000,53,1
A015265,1,3,2006,2500,79,1
A015266,1,16,2010,2500,34,2
A015267,1,13,2015,1000,49,1
A015268,1,13,2010,1000,18,2
A015269,1,19,2014,1600,37,2
A015270,1,3,2017,2000,74,2
A015271,1,5,2018,1400,54,2
A015272,1,1,2017,2000,54,1
A015273,1,6,2009,1600,63,2
A015274,1,20,2013,1600,31,1
A015275,1,9,2021,1600,68,2
A015276,1,20,2005,2500,62,1
A015277,1,11,2019,2500,18,2
A015278,1,4,2006,2500,34,2
A015279,1,2,2012,1000,49,1
A015280,1,15,2017,2000,21,2
A015281,1,14,2009,1400,65,1
A015282,1,2,2022,2500,56,1
A015283,1,8,2014,1000,64,2
A015284,1,5,2012,1400,75,2
A015285,1,12,2012,1600,21,2
A015286,1,7,2016,1000,32,1
A015287,1,15,2021,1000,80,2
A015288,1,2,2018,1600,31,2
A015289,1,3,2023,2500,80,1
A015290,1,4,2022,1000,55,1
A015291,1,6,2017,1400,31,2
A015292,1,16,2007,1600,58,1
A015293,1,9,2009,2000,66,1
A015294,1,9,2013,2000,72,1
A015295,1,10,2022,1400,39,1
A015296,1,9,2012,2500,64,2
A015297,1,8,2014,1000,31,1
A015298,1,13,2020,1400,49,1
A015299,1,5,2023,1400,47,1
A015300,1,5,2009,1400,53,2
A015301,1,18,2004,2000,51,2
A015302,1,16,2022,1000,25,1
A015303,1,3,2014,2000,38,1
A015304,1,5,2017,1400,49,2
A015305,1,10,2016,1600,52,1
A015306,1,18,2010,1600,74,1
A015307,1,15,2004,1400,48,1
A015308,1,11,2023,2500,69,1
A015309,1,3,2021,1000,71,1
A015310,1,3,2009,1400,55,2
A015311,1,12,2007,1600,64,1
A015312,1,5,2021,2000,67,2
A015313,1,8,2021,2500,63,1
A015314,1,5,2018,2500,76,2
A015315,1,16,2012,2500,21,2
A015316,1,8,2008,1600,60,1
A015317,1,19,2006,1400,75,1
A015318,1,10,2019,1400,18,1
A015319,1,4,2023,1000,47,2
A015320,1,13,2010,1000,27,2
A015321,1,9,2007,2500,64,1
A015322,1,11,2009,2500,77,2
A015323,1,15,2022,2000,50,2
A015324,1,14,2004,1400,33,2
A015325,1,4,2018,2500,74,1
A015326,1,10,2011,1000,36,1
A015327,1,11,2011,2000,54,1
A015328,1,11,2014,2500,73,2
A015329,1,2,2020,1000,58,2
A015330,1,7,2022,1000,67,2
A015331,1,18,2011,1000,33,2
A015332,1,4,2005,2000,27,1
A015333,1,1,2007,1000,21,2
A015334,1,19,2014,1400,30,2
A015335,1,15,2008,1000,27,2
A015336,1,20,2018,1600,23,1
A015337,1,20,2007,1000,19,1
A015338,1,4,2015,1400,78,1
A015339,1,6,2018,2500,71,2
A015340,1,12,2006,1600,36,1
A015341,1,2,2012,1400,43,2
A015342,1,5,2011,1600,41,2
A015343,1,9,2004,1600,66,1
A015344,1,13,2020,2000,23,1
A015345,1,4,2015,1600,76,2
A015346,1,17,2007,2000,21,1
A015347,1,18,2005,1400,35,1
A015348,1,11,2009,2000,62,1
A015349,1,11,2020,2500,36,1
A015350,1,5,2016,2000,40,1
A015351,1,19,2006,1600,73,2
A015352,1,7,2020,1000,78,1
A015353,1,13,2019,1600,62,2
A015354,1,1,2021,1400,45,2
A015355,1,4,2010,2500,65,2
A015356,1,14,2020,2500,38,1
A015357,1,19,2023,2500,25,2
A015358,1,13,2010,2500,33,1
A015359,1,12,2022,2000,77,2
A015360,1,3,2023,1600,19,1
A015361,1,8,2006,1600,25,1
A015362,1,6,2008,1600,19,2
A015363,1,8,2005,2500,72,2
A015364,1,17,2007,2000,52,2
A015365,1,18,2014,1400,65,1
A015366,1,6,2016,2000,52,2
A015367,1,16,2016,1400,28,1
A015368,1,13,2015,2000,57,2
A015369,1,16,2012,1600,21,2
A015370,1,20,2018,1400,45,1
A015371,1,14,2014,1000,28,2
A015372,1,5,2005,2000,25,1
A015373,1,15,2011,2000,32,2
A015374,1,6,2006,1400,45,1
A015375,1,5,2012,1600,49,1
A015376,1,14,2023,1000,18,2
A015377,1,2,2013,1400,24,1
A015378,1,6,2013,1000,77,2
A015379,1,7,2007,1400,60,2
A015380,1,16,2015,1600,70,1
A015381,1,20,2021,1600,59,1
A015382,1,15,2010,1600,33,2
A015383,1,13,2012,1400,20,1
A015384,1,6,2008,1000,49,2
A015385,1,13,2011,1400,73,1
A015386,1,20,2017,2000,24,1
A015387,1,5,2010,2000,52,1
A015388,1,6,2016,1400,26,1
A015389,1,16,2010,1000,70,1
A015390,1,12,2020,1400,37,1
A015391,1,7,2017,1600,64,1
A015392,1,20,2018,1000,26,1
A015393,1,8,2013,2000,71,2
A015394,1,9,2013,1400,61,2
A015395,1,14,2018,1400,39,2
A015396,1,7,2004,1400,46,2
A015397,1,11,2011,2000,79,1
A015398,1,2,2011,1000,68,1
A015399,1,6,2010,1000,26,2
A015400,1,2,2023,1400,38,1
A015401,1,18,2017,1600,30,1
A015402,1,3,2004,2500,54,1
A015403,1,6,2015,1000,19,2
A015404,1,5,2005,1000,45,2
A015405,1,6,2012,1000,79,2
A015406,1,19,2009,1000,46,2
A015407,1,11,2010,1600,67,1
A015408,1,19,2011,2000,47,1
A015409,1,6,2022,1400,40,1
A015410,1,20,2018,1400,49,1
A015411,1,11,2009,1000,38,1
A015412,1,3,2016,2000,64,2
A015413,1,20,2020,1000,50,2
A015414,1,8,2007,1600,76,2
A015415,1,20,2009,2000,79,2
A015416,1,4,2008,1600,52,2
A015417,1,3,2015,1600,43,1
A015418,1,2,2005,1000,66,1
A015419,1,9,2015,2000,19,2
A015420,1,15,2006,1400,23,2
A015421,1,9,2010,1600,20,2
A015422,1,4,2015,1400,47,1
A015423,1,20,2004,1000,64,2
A015424,1,18,2017,2000,79,1
A015425,1,5,2009,2000,62,1
A015426,1,8,2008,2000,27,2
A015427,1,19,2005,2500,72,1
A015428,1,15,2009,1400,19,1
A015429,1,2,2021,2500,79,2
A015430,1,11,2006,1400,76,2
A015431,1,16,2012,1000,34,2
A015432,1,17,2011,2000,49,2
A015433,1,20,2007,1400,30,1
A015434,1,12,2010,1000,58,2
A015435,1,19,2018,2500,53,2
A015436,1,20,2018,1600,56,2
A015437,1,3,2008,2000,45,1
A015438,1,13,2012,2000,31,2
A015439,1,4,2014,1600,39,1
A015440,1,12,2015,1600,47,1
A015441,1,14,2010,1600,71,2
A015442,1,7,2014,1400,67,2
A015443,1,14,2010,1400,42,2
A015444,1,7,2019,1600,65,2
A015445,1,4,2021,2000,71,2
A015446,1,1,2010,1600,43,2
A015447,1,2,2011,1000,30,2
A015448,1,20,2017,2000,60,2
A015449,1,20,2011,1400,50,1
A015450,1,13,2019,1600,59,1
A015451,1,1,2018,2500,54,1
A015452,1,5,2012,2000,30,2
A015453,1,3,2007,1000,32,2
A015454,1,2,2020,1000,69,1
A015455,1,4,2015,1000,32,2
A015456,1,10,2019,2000,68,2
A015457,1,16,2017,1000,78,1
A015458,1,14,2020,2000,28,2
A015459,1,15,2020,1400,52,1
A015460,1,9,2017,1000,28,2
A015461,1,19,2010,2000,30,2
A015462,1,3,2009,1400,70,2
A015463,1,20,2023,2000,20,2
A015464,1,10,2012,1600,69,1
A015465,1,14,2009,1400,41,1
A015466,1,7,2007,2500,62,1
A015467,1,9,2010,1000,80,2
A015468,1,7,2023,1600,28,1
A015469,1,10,2016,2000,39,2
A015470,1,20,2005,1600,41,2
A015471,1,18,2022,2000,69,2
A015472,1,9,2013,1600,63,2
A015473,1,18,2014,2000,61,1
A015474,1,4,2004,1600,67,1
A015475,1,6,2020,2000,55,1
A015476,1,11,2023,2500,19,2
A015477,1,6,2004,2500,37,2
A015478,1,19,2010,1000,47,1
A015479,1,2,2019,1600,54,1
A015480,1,1,2006,2000,61,2
A015481,1,12,2014,2000,29,1
A015482,1,17,2012,1400,66,1
A015483,1,5,2007,2000,46,1
A015484,1,11,2022,1600,49,1
A015485,1,7,2018,2000,25,1
A015486,1,9,2005,2500,72,1
A015487,1,20,2013,2000,20,2
A015488,1,15,2019,2000,34,1
A015489,1,13,2013,1400,23,1
A015490,1,13,2019,1000,18,1
A015491,1,19,2012,2500,70,2
A015492,1,14,2019,1000,36,2
A015493,1,14,2007,2500,25,1
A015494,1,7,2004,1600,75,1
A015495,1,8,2019,1000,76,2
A015496,1,15,2023,1000,59,2
A015497,1,11,2014,1400,78,1
A015498,1,12,2010,2000,31,1
A015499,1,1,2022,1000,65,2
A015500,1,15,2010,2000,67,1
A015501,1,14,2013,2000,24,2
A015502,1,2,2020,1600,49,1
A015503,1,10,2004,2500,80,1
A015504,1,19,2006,1400,45,2
A015505,1,7,2021,1600,69,1
A015506,1,16,2013,1000,80,1
A015507,1,6,2023,2500,77,2
A015508,1,18,2004,2000,45,1
A015509,1,17,2021,2500,22,2
A015510,1,3,2010,2500,59,1
A015511,1,13,2019,2500,78,2
A015512,1,7,2005,2500,79,2
A015513,1,5,2009,1400,54,1
A015514,1,17,2023,2500,57,2
A015515,1,9,2015,2500,73,2
A015516,1,14,2010,2000,73,1
A015517,1,2,2023,1000,58,1
A015518,1,1,2016,1000,74,2
A015519,1,11,2006,1400,66,2
A015520,1,9,2016,1400,22,2
A015521,1,4,2005,2500,25,1
A015522,1,9,2005,1000,41,2
A015523,1,17,2019,2500,33,1
A015524,1,14,2012,2500,44,2
A015525,1,6,2021,2500,18,1
A015526,1,18,2005,1000,37,2
A015527,1,16,2021,2000,77,1
A015528,1,9,2011,2500,63,2
A015529,1,8,2012,1400,44,2
A015530,1,7,2005,1400,76,2
A015531,1,16,2018,1400,43,2
A015532,1,9,2011,2000,40,2
A015533,1,13,2008,2000,74,1
A015534,1,2,2011,1600,65,1
A015535,1,5,2006,1400,61,1
A015536,1,12,2021,2500,59,1
A015537,1,1,2022,2500,18,2
A015538,1,20,2006,2500,60,1
A015539,1,11,2009,1000,70,1
A015540,1,6,2005,2500,27,1
A015541,1,5,2010,1400,65,2
A015542,1,5,2017,1000,63,2
A015543,1,6,2008,2000,64,2
A015544,1,19,2011,1400,62,1
A015545,1,6,2013,2500,74,1
A015546,1,2,2016,1400,24,1
A015547,1,16,2007,1400,68,1
A015548,1,16,2005,2000,55,2
A015549,1,3,2012,2000,62,2
A015550,1,9,2018,1600,53,2
A015551,1,2,2019,1400,26,2
A015552,1,1,2005,1600,19,1
A015553,1,3,2016,2000,41,2
A015554,1,2,2012,1000,20,2
A015555,1,2,2004,1400,40,1
A015556,1,6,2021,2500,37,2
A015557,1,20,2013,1000,42,2
A015558,1,1,2006,1400,29,2
A015559,1,4,2020,2500,38,2
A015560,1,16,2005,1400,32,1
A015561,1,3,2019,2500,31,1
A015562,1,1,2015,1400,41,1
A015563,1,12,2009,1400,79,1
A015564,1,12,2007,2000,80,1
A015565,1,16,2014,1600,27,2
A015566,1,12,2020,1000,55,1
A015567,1,18,2021,1400,33,2
A015568,1,4,2016,1400,40,1
A015569,1,10,2005,2500,34,1
A015570,1,18,2011,2500,79,2
A015571,1,3,2012,1400,48,1
A015572,1,4,2013,1600,40,1
A015573,1,10,2006,1000,74,1
A015574,1,3,2013,1400,27,2
A015575,1,17,2017,1000,48,2
A015576,1,1,2021,1600,68,2
A015577,1,7,2015,1400,79,2
A015578,1,11,2023,1600,42,2
A015579,1,18,2021,2500,53,1
A015580,1,1,2017,1400,78,2
A015581,1,16,2013,1600,21,1
A015582,1,17,2013,1600,19,2
A015583,1,15,2007,2000,77,1
A015584,1,19,2006,1600,60,1
A015585,1,17,2011,1400,34,2
A015586,1,12,2022,1400,18,1
A015587,1,10,2004,2000,23,1
A015588,1,18,2015,1000,19,1
A015589,1,2,2011,2500,40,2
A015590,1,2,2018,2000,43,2
A015591,1,3,2018,1000,69,2
A015592,1,17,2007,2000,26,2
A015593,1,9,2013,1000,80,1
A015594,1,6,2011,1600,44,1
A015595,1,9,2005,1600,47,2
A015596,1,4,2004,1000,22,1
A015597,1,19,2019,2500,68,2
A015598,1,1,2010,2000,51,2
A015599,1,9,2017,2000,39,1
A015600,1,16,2004,2500,80,2
A015601,1,4,2013,2500,26,2
A015602,1,12,2019,1600,62,1
A015603,1,15,2009,2500,59,2
A015604,1,6,2007,1000,46,2
A015605,1,17,2011,2000,30,1
A015606,1,12,2021,2000,70,1
A015607,1,11,2022,1600,68,2
A015608,1,5,2015,1600,24,2
A015609,1,9,2017,1400,55,1
A015610,1,4,2012,1400,20,1
A015611,1,6,2015,2500,45,2
A015612,1,18,2018,1600,51,2
A015613,1,10,2009,1600,28,2
A015614,1,19,2020,1600,61,2
A015615,1,8,2015,1600,76,2
A015616,1,11,2021,2500,49,1
A015617,1,5,2007,1600,46,2
A015618,1,5,2013,1000,35,2
A015619,1,17,2008,2000,20,2
A015620,1,10,2015,1600,28,1
A015621,1,4,2023,1000,37,1
A015622,1,14,2020,1400,42,2
A015623,1,6,2012,2500,54,1
A015624,1,10,2010,1600,41,2
A015625,1,12,2015,1400,58,2
A015626,1,11,2007,2500,20,2
A015627,1,9,2015,2500,62,2
A015628,1,7,2007,1600,52,2
A015629,1,8,2008,1400,41,1
A015630,1,18,2010,1400,23,1
A015631,1,17,2023,1000,25,1
A015632,1,1,2023,2000,75,2
A015633,1,6,2021,2500,67,1
A015634,1,5,2005,2000,35,1
A015635,1,13,2022,2000,32,1
A015636,1,10,2011,1000,36,2
A015637,1,9,2005,2500,55,2
A015638,1,12,2018,2500,29,1
A015639,1,17,2010,2000,19,2
A015640,1,18,2005,2500,63,2
A015641,1,20,2015,1600,75,2
A015642,1,19,2017,1000,20,1
A015643,1,3,2023,1000,19,1
A015644,1,14,2008,1600,45,2
A015645,1,19,2010,1600,57,2
A015646,1,20,2011,2000,48,2
A015647,1,15,2019,1600,55,1
A015648,1,10,2019,1000,44,2
A015649,1,13,2017,2500,53,2
A015650,1,5,2015,1000,46,1
A015651,1,16,2023,2500,78,1
A015652,1,11,2006,1000,46,1
A015653,1,1,2015,1000,25,1
A015654,1,7,2007,2000,40,1
A015655,1,17,2012,1400,44,2
A015656,1,15,2007,1000,63,2
A015657,1,16,2011,2500,67,1
A015658,1,9,2010,2000,80,1
A015659,1,14,2007,1600,56,1
A015660,1,4,2008,1000,63,1
A015661,1,18,2007,1000,62,1
A015662,1,20,2017,2500,62,1
A015663,1,5,2006,1400,43,2
A015664,1,12,2016,1600,60,2
A015665,1,3,2008,1400,53,2
A015666,1,15,2020,1000,50,2
A015667,1,11,2016,2500,62,2
A015668,1,17,2019,2000,30,2
A015669,1,2,2011,2500,63,2
A015670,1,15,2010,1600,66,2
A015671,1,11,2012,1400,31,2
A015672,1,12,2007,1400,64,2
A015673,1,19,2010,1600,63,1
A015674,1,9,2012,2500,40,2
A015675,1,8,2023,1600,80,2
A015676,1,6,2021,2000,44,2
A015677,1,19,2015,1600,30,2
A015678,1,3,2019,1400,51,2
A015679,1,3,2020,2000,39,1
A015680,1,8,2017,1400,50,2
A015681,1,20,2006,1400,33,1
A015682,1,5,2012,1400,78,1
A015683,1,3,2021,1400,38,2
A015684,1,9,2013,1600,67,2
A015685,1,18,2015,1400,35,1
A015686,1,7,2006,2000,32,1
A015687,1,12,2020,1400,41,1
A015688,1,1,2018,2000,48,1
A015689,1,13,2023,2000,28,1
A015690,1,13,2005,1000,18,1
A015691,1,16,2015,2500,67,1
A015692,1,8,2019,1400,56,2
A015693,1,2,2015,1600,62,2
A015694,1,8,2006,1400,19,2
A015695,1,2,2013,1400,66,2
A015696,1,8,2018,1000,40,2
A015697,1,12,2014,2000,36,1
A015698,1,14,2005,1000,53,2
A015699,1,3,2013,1400,32,1
A015700,1,6,2014,1400,23,1
A015701,1,6,2013,1000,39,1
A015702,1,18,2009,1000,77,1
A015703,1,18,2015,1400,75,2
A015704,1,16,2020,1400,34,1
A015705,1,11,2011,2000,79,1
A015706,1,18,2015,2000,69,2
A015707,1,5,2019,1600,43,2
A015708,1,3,2019,1600,46,1
A015709,1,2,2023,1000,37,2
A015710,1,12,2006,1000,53,1
A015711,1,11,2016,2500,32,2
A015712,1,5,2020,2500,34,2
A015713,1,17,2011,1400,22,1
A015714,1,8,2014,2000,72,1
A015715,1,1,2008,1000,46,2
A015716,1,2,2009,1600,35,1
A015717,1,12,2009,1400,79,1
A015718,1,11,2007,2500,56,2
A015719,1,6,2005,1000,28,1
A015720,1,5,2017,1000,68,2
A015721,1,20,2007,1000,57,2
A015722,1,18,2004,1400,32,2
A015723,1,14,2023,2000,21,2
A015724,1,18,2014,1600,70,1
A015725,1,20,2008,2500,30,2
A015726,1,20,2019,1600,66,2
A015727,1,20,2018,2500,46,2
A015728,1,13,2004,1600,76,2
A015729,1,3,2023,1400,54,2
A015730,1,12,2016,2500,47,2
A015731,1,20,2011,1600,51,2
A015732,1,19,2010,1400,51,1
A015733,1,11,2020,1600,20,1
A015734,1,12,2009,2500,49,1
A015735,1,5,2006,2000,44,2
A015736,1,1,2017,1000,70,2
A015737,1,2,2022,1400,22,2
A015738,1,2,2018,2000,37,2
A015739,1,16,2011,1400,68,2
A015740,1,5,2012,2500,40,1
A015741,1,7,2005,1600,29,1
A015742,1,13,2017,1000,66,2
A015743,1,7,2015,2500,37,1
A015744,1,2,2022,1400,39,2
A015745,1,8,2007,1600,40,1
A015746,1,10,2012,1600,61,2
A015747,1,7,2015,2500,57,1
A015748,1,5,2007,2500,34,1
A015749,1,8,2022,2500,73,1
A015750,1,7,2013,1400,19,1
A015751,1,4,2010,1400,37,2
A015752,1,16,2022,1000,54,1
A015753,1,9,2006,1000,34,2
A015754,1,18,2023,1400,61,2
A015755,1,4,2013,1600,52,1
A015756,1,12,2009,1000,75,1
A015757,1,16,2008,2500,43,2
A015758,1,19,2016,1400,75,2
A015759,1,15,2007,2500,46,2
A015760,1,19,2006,2500,39,1
A015761,1,6,2021,2000,33,1
A015762,1,9,2010,1600,50,1
A015763,1,8,2017,1600,75,1
A015764,1,15,2011,1400,70,2
A015765,1,17,2022,1400,68,2
A015766,1,19,2006,1400,77,1
A015767,1,17,2020,1000,55,2
A015768,1,20,2022,1400,57,2
A015769,1,20,2009,1000,47,2
A015770,1,19,2013,1600,38,1
A015771,1,4,2021,2500,52,1
A015772,1,4,2004,2500,46,1
A015773,1,17,2009,1600,74,1
A015774,1,19,2014,2000,34,2
A015775,1,6,2014,2500,38,2
A015776,1,5,2011,2500,63,1
A015777,1,8,2009,1400,36,2
A015778,1,17,2016,1600,26,1
A015779,1,16,2021,1400,67,2
A015780,1,19,2023,1600,32,1
A015781,1,16,2012,1400,76,2
A015782,1,16,2012,1400,51,1
A015783,1,3,2022,1400,32,1
A015784,1,16,2018,2500,69,2
A015785,1,9,2013,1000,24,2
A015786,1,4,2005,1000,64,1
A015787,1,2,2017,2000,46,2
A015788,1,14,2021,1600,60,2
A015789,1,7,2006,1400,29,2
A015790,1,18,2012,2500,38,2
A015791,1,5,2021,2500,65,2
A015792,1,4,2006,1000,51,2
A015793,1,9,2015,2000,61,2
A015794,1,20,2009,1600,32,2
A015795,1,1,2007,1000,46,2
A015796,1,9,2019,1600,42,1
A015797,1,6,2021,1600,20,2
A015798,1,17,2005,2500,34,2
A015799,1,13,2022,2500,66,1
A015800,1,20,2019,2500,28,1
A015801,1,4,2014,2500,73,1
A015802,1,11,2008,1600,68,1
A015803,1,10,2021,2500,30,2
A015804,1,4,2009,2000,60,1
A015805,1,5,2004,2500,71,2
A015806,1,3,2015,2500,34,2
A015807,1,3,2019,1000,19,2
A015808,1,6,2019,2000,19,2
A015809,1,6,2020,1400,50,1
A015810,1,9,2008,1600,61,2
A015811,1,11,2020,2500,57,1
A015812,1,10,2006,1400,56,2
A015813,1,11,2014,1600,62,1
A015814,1,17,2006,1000,79,1
A015815,1,3,2007,1000,72,2
A015816,1,7,2008,2000,58,1
A015817,1,13,2021,2500,34,2
A015818,1,4,2018,1400,78,1
A015819,1,9,2023,2500,43,2
A015820,1,10,2020,1000,65,2
A015821,1,18,2007,2000,80,1
A015822,1,5,2007,1400,37,1
A015823,1,6,2023,2500,78,2
A015824,1,1,2023,1400,50,1
A015825,1,1,2016,1000,64,2
A015826,1,7,2019,2500,30,2
A015827,1,2,2011,1600,61,2
A015828,1,20,2004,2000,73,2
A015829,1,6,2022,1400,27,2
A015830,1,4,2012,2500,22,2
A015831,1,10,2005,2500,35,2
A015832,1,2,2020,2500,24,1
A015833,1,17,2020,2000,26,1
A015834,1,4,2006,1400,42,1
A015835,1,17,2012,1400,49,1
A015836,1,16,2011,1600,45,2
A015837,1,3,2015,1400,80,1
A015838,1,3,2008,1600,63,2
A015839,1,8,2016,2500,70,2
A015840,1,18,2010,1000,73,2
A015841,1,10,2005,1000,78,1
A015842,1,1,2005,1000,47,1
A015843,1,20,2014,1600,39,1
A015844,1,13,2023,1400,59,2
A015845,1,7,2011,1600,43,1
A015846,1,2,2004,2000,24,1
A015847,1,4,2012,1600,18,2
A015848,1,13,2006,1600,43,2
A015849,1,19,2019,2500,59,2
A015850,1,18,2022,2000,23,1
A015851,1,1,2019,1600,45,2
A015852,1,16,2017,2500,56,2
A015853,1,14,2021,1600,36,1
A015854,1,8,2016,2500,29,2
A015855,1,15,2007,1000,65,1
A015856,1,6,2005,2500,43,2
A015857,1,17,2016,1000,48,1
A015858,1,17,2016,1400,80,1
A015859,1,1,2022,1400,32,2
A015860,1,6,2014,1400,49,2
A015861,1,15,2006,1400,68,2
A015862,1,3,2006,1400,31,1
A015863,1,3,2022,1600,64,2
A015864,1,16,2008,2000,66,2
A015865,1,11,2022,1400,51,2
A015866,1,7,2009,2500,53,2
A015867,1,11,2020,1600,31,2
A015868,1,12,2004,2500,55,1
A015869,1,13,2019,1400,67,1
A015870,1,5,2023,1600,60,1
A015871,1,1,2004,1400,76,1
A015872,1,12,2018,2500,79,1
A015873,1,14,2016,2500,72,2
A015874,1,7,2007,1000,43,2
A015875,1,15,2005,1400,18,2
A015876,1,15,2014,1400,71,1
A015877,1,14,2023,2000,47,2
A015878,1,4,2009,1000,79,2
A015879,1,18,2022,2000,37,1
A015880,1,10,2010,2000,38,1
A015881,1,9,2005,1600,48,1
A015882,1,4,2013,1000,57,2
A015883,1,11,2023,1000,56,1
A015884,1,19,2008,2000,25,1
A015885,1,16,2017,2000,56,1
A015886,1,13,2008,1400,54,1
A015887,1,12,2009,2500,38,1
A015888,1,4,2009,1600,48,2
A015889,1,7,2018,2000,75,2
A015890,1,2,2014,1600,43,2
A015891,1,8,2006,1000,23,1
A015892,1,1,2006,1000,18,1
A015893,1,12,2010,1600,43,2
A015894,1,9,2020,2500,59,2
A015895,1,16,2011,1400,39,1
A015896,1,6,2021,1000,79,2
A015897,1,2,2018,1000,51,1
A015898,1,15,2014,1000,45,1
A015899,1,8,2014,1000,71,2
A015900,1,20,2023,2000,58,1
A015901,1,14,2021,1000,18,1
A015902,1,12,2018,1600,44,2
A015903,1,5,2008,1600,23,1
A015904,1,2,2010,2500,42,2
A015905,1,15,2006,2500,64,1
A015906,1,14,2012,2000,39,2
A015907,1,19,2016,1400,54,1
A015908,1,6,2009,2000,70,1
A015909,1,6,2013,1600,19,2
A015910,1,14,2016,1400,30,1
A015911,1,8,2004,2000,61,2
A015912,1,17,2011,2500,78,1
A015913,1,14,2012,1600,45,2
A015914,1,5,2021,1400,58,2
A015915,1,3,2021,1000,25,2
A015916,1,12,2023,2500,31,2
A015917,1,2,2005,1000,26,2
A015918,1,6,2010,2500,80,1
A015919,1,17,2017,2000,69,2
A015920,1,11,2013,1600,33,2
A015921,1,8,2017,1000,63,1
A015922,1,10,2011,2000,33,2
A015923,1,19,2007,1400,80,2
A015924,1,15,2015,1400,19,1
A015925,1,17,2020,2000,34,2
A015926,1,4,2017,1400,54,1
A015927,1,8,2005,1000,66,2
